# longitude,latitude
-70.659000,41.517000
-70.658830,41.516836
-70.658661,41.516673
-70.658492,41.516509
-70.658323,41.516345
-70.658095,41.516168
-70.657868,41.515991
-70.657638,41.515813
-70.657409,41.515635
-70.657180,41.515457
-70.656912,41.515266
-70.656645,41.515075
-70.656378,41.514884
-70.656030,41.514698
-70.655683,41.514512
-70.655335,41.514326
-70.655019,41.514164
-70.654698,41.514000
-70.654377,41.513836
-70.654057,41.513672
-70.653736,41.513509
-70.653395,41.513393
-70.653054,41.513277
-70.652714,41.513161
-70.652373,41.513045
-70.652031,41.512929
-70.651764,41.512826
-70.651493,41.512724
-70.651221,41.512622
-70.650949,41.512521
-70.650677,41.512419
-70.650416,41.512351
-70.650154,41.512284
-70.649892,41.512217
-70.649630,41.512149
-70.649367,41.512082
-70.649100,41.512017
-70.648833,41.511951
-70.648566,41.511886
-70.648297,41.511821
-70.648029,41.511756
-70.647774,41.511676
-70.647519,41.511596
-70.647264,41.511517
-70.647008,41.511438
-70.646751,41.511359
-70.646490,41.511281
-70.646228,41.511204
-70.645965,41.511127
-70.645702,41.511050
-70.645438,41.510974
-70.645168,41.510908
-70.644898,41.510842
-70.644626,41.510777
-70.644354,41.510712
-70.644081,41.510647
-70.643803,41.510584
-70.643524,41.510521
-70.643245,41.510459
-70.642964,41.510397
-70.642682,41.510335
-70.642414,41.510263
-70.642144,41.510191
-70.641873,41.510119
-70.641602,41.510048
-70.641330,41.509977
-70.641052,41.509908
-70.640774,41.509839
-70.640495,41.509771
-70.640215,41.509703
-70.639934,41.509635
-70.639653,41.509567
-70.639371,41.509500
-70.639088,41.509434
-70.638804,41.509367
-70.638520,41.509301
-70.638232,41.509236
-70.637941,41.509160
-70.637649,41.509085
-70.637358,41.509009
-70.637066,41.508934
-70.636774,41.508858
-70.636482,41.508783
-70.636190,41.508708
-70.635898,41.508632
-70.635606,41.508557
-70.635310,41.508483
-70.635015,41.508408
-70.634719,41.508334
-70.634425,41.508259
-70.634130,41.508184
-70.633836,41.508109
-70.633532,41.508033
-70.633229,41.507956
-70.632926,41.507879
-70.632623,41.507802
-70.632317,41.507726
-70.632012,41.507649
-70.631707,41.507573
-70.631403,41.507496
-70.631103,41.507411
-70.630803,41.507326
-70.630504,41.507242
-70.630205,41.507157
-70.629907,41.507071
-70.629609,41.506986
-70.629299,41.506899
-70.628988,41.506812
-70.628678,41.506725
-70.628369,41.506638
-70.628060,41.506550
-70.627751,41.506463
-70.627442,41.506375
-70.627134,41.506287
-70.626827,41.506199
-70.626520,41.506111
-70.626213,41.506023
-70.625902,41.505935
-70.625591,41.505848
-70.625281,41.505760
-70.624972,41.505672
-70.624662,41.505584
-70.624354,41.505489
-70.624045,41.505394
-70.623737,41.505299
-70.623430,41.505204
-70.623123,41.505108
-70.622812,41.505014
-70.622501,41.504919
-70.622191,41.504824
-70.621881,41.504728
-70.621571,41.504633
-70.621262,41.504538
-70.620953,41.504442
-70.620645,41.504346
-70.620349,41.504244
-70.620055,41.504141
-70.619756,41.504039
-70.619458,41.503937
-70.619160,41.503834
-70.618863,41.503732
-70.618566,41.503630
-70.618269,41.503527
-70.617972,41.503424
-70.617675,41.503322
-70.617378,41.503219
-70.617082,41.503116
-70.616782,41.503014
-70.616483,41.502912
-70.616183,41.502810
-70.615884,41.502707
-70.615580,41.502599
-70.615277,41.502491
-70.614973,41.502383
-70.614670,41.502275
-70.614366,41.502167
-70.614063,41.502059
-70.613757,41.501951
-70.613450,41.501844
-70.613144,41.501736
-70.612838,41.501628
-70.612532,41.501520
-70.612227,41.501412
-70.611921,41.501304
-70.611617,41.501195
-70.611312,41.501087
-70.611008,41.500979
-70.610700,41.500870
-70.610393,41.500762
-70.610094,41.500641
-70.609795,41.500520
-70.609496,41.500399
-70.609198,41.500278
-70.608900,41.500156
-70.608603,41.500035
-70.608306,41.499913
-70.608009,41.499792
-70.607710,41.499670
-70.607411,41.499548
-70.607113,41.499427
-70.606815,41.499305
-70.606500,41.499170
-70.606185,41.499036
-70.605871,41.498901
-70.605557,41.498766
-70.605243,41.498631
-70.604926,41.498496
-70.604610,41.498361
-70.604293,41.498226
-70.603977,41.498091
-70.603661,41.497956
-70.603345,41.497821
-70.603030,41.497686
-70.602714,41.497551
-70.602398,41.497415
-70.602083,41.497280
-70.601755,41.497135
-70.601428,41.496991
-70.601100,41.496846
-70.600772,41.496701
-70.600444,41.496556
-70.600116,41.496412
